City,Area,total_sqft,BHK,Parking,AC,Wifi,Lift,Security,Price,Price_per_sqft
Banglore,Doddanekundi,1675,3,0,0,0,1,0,83.58,4990.0
Banglore,Kengeri,1670,3,1,0,0,1,1,68.45,4099.0
Banglore,Horamavu,1220,2,1,0,0,1,1,67.97,5571.0
Banglore,Thanisandra,2502,4,1,0,0,1,1,200.0,7994.0
Banglore,Ramamurthy Nagar,1438,3,1,0,0,1,1,71.05,4941.0
Banglore,Whitefield Hope Farm Junction,1405,3,0,0,0,0,1,84.05,5982.0
Banglore,Electronic City Phase 1,660,1,1,0,0,0,1,35.06,5312.0
Banglore,Yelahanka,1362,2,1,0,0,1,1,77.0,5653.0
Banglore,Anjanapura,1735,3,1,0,0,1,1,93.69,5400.0
Banglore,Jalahalli,1575,3,0,0,0,0,1,87.16,5534.0
Banglore,Kasavanahalli,1120,2,1,0,0,1,0,53.94,4816.0
Banglore,Whitefield Hope Farm Junction,1415,3,0,0,0,1,0,63.67,4500.0
Banglore,Bommasandra,1270,2,1,0,0,1,1,50.8,4000.0
Banglore,Other,1311,3,1,0,0,1,1,72.09999,5500.0
Banglore,RR Nagar,1210,2,1,0,0,1,0,57.0,4711.0
Banglore,Doddanekundi,1675,3,0,0,0,1,0,83.58,4990.0
Banglore,Kengeri,1670,3,1,0,0,1,1,68.45,4099.0
Banglore,Horamavu,1220,2,1,0,0,1,1,67.97,5571.0
Banglore,Thanisandra,2502,4,1,0,0,1,1,200.0,7994.0
Banglore,Ramamurthy Nagar,1438,3,1,0,0,1,1,71.05,4941.0
Banglore,Whitefield Hope Farm Junction,1405,3,0,0,0,0,1,84.05,5982.0
Banglore,Electronic City Phase 1,660,1,1,0,0,0,1,35.06,5312.0
Banglore,Yelahanka,1362,2,1,0,0,1,1,77.0,5653.0
Banglore,Anjanapura,1735,3,1,0,0,1,1,93.69,5400.0
Banglore,Jalahalli,1575,3,0,0,0,0,1,87.16,5534.0
Banglore,Kasavanahalli,1120,2,1,0,0,1,0,53.94,4816.0
Banglore,Whitefield Hope Farm Junction,1415,3,0,0,0,1,0,63.67,4500.0
Banglore,Bommasandra,1270,2,1,0,0,1,1,50.8,4000.0
Banglore,Other,1311,3,1,0,0,1,1,72.09999,5500.0
Banglore,RR Nagar,1210,2,1,0,0,1,0,57.0,4711.0
Banglore,Whitefield Hope Farm Junction,1705,3,0,0,0,1,1,124.0,7273.0
Banglore,Begur,1187,2,0,0,0,1,1,49.0,4128.0
Banglore,Doddanekundi,1675,3,0,0,0,1,0,83.58,4990.0
Banglore,Kengeri,1670,3,1,0,0,1,1,68.45,4099.0
Banglore,Horamavu,1220,2,1,0,0,1,1,67.97,5571.0
Banglore,Thanisandra,2502,4,1,0,0,1,1,200.0,7994.0
Banglore,Ramamurthy Nagar,1438,3,1,0,0,1,1,71.05,4941.0
Banglore,Whitefield Hope Farm Junction,1405,3,0,0,0,0,1,84.05,5982.0
Banglore,Electronic City Phase 1,660,1,1,0,0,0,1,35.06,5312.0
Banglore,Yelahanka,1362,2,1,0,0,1,1,77.0,5653.0
Banglore,Anjanapura,1735,3,1,0,0,1,1,93.69,5400.0
Banglore,Jalahalli,1575,3,0,0,0,0,1,87.16,5534.0
Banglore,Kasavanahalli,1120,2,1,0,0,1,0,53.94,4816.0
Banglore,Whitefield Hope Farm Junction,1415,3,0,0,0,1,0,63.67,4500.0
Banglore,Bommasandra,1270,2,1,0,0,1,1,50.8,4000.0
Banglore,Other,1311,3,1,0,0,1,1,72.09999,5500.0
Banglore,RR Nagar,1210,2,1,0,0,1,0,57.0,4711.0
